date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:33:40	149/149	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Apr%202020%2022:33:40%20GMT	https://rezx-web.glitch.me/robots.txt		(from )
23:33:41	6365/6365	---M--	200	added ('OK')	text/html	etag:W/%2218dd-zp4exg4amQh2S7W63ktP4LErZ1I%22	https://rezx-web.glitch.me/	D:/bot%20codes/https___rezx-web.glitch.me_/rezx-web.glitch.me/index.html	(from )
23:33:42	260887/260887	---MCZ	200	added ('OK')	text/css	etag:W/%225d43417c-3fb17%22	https://cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/css/uikit.min.css	D:/bot%20codes/https___rezx-web.glitch.me_/cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/css/uikit.min.css	(from https://rezx-web.glitch.me/)
23:33:42	135192/135192	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d43417d-21018%22	https://cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/js/uikit.min.js	D:/bot%20codes/https___rezx-web.glitch.me_/cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/js/uikit.min.js	(from https://rezx-web.glitch.me/)
23:33:43	63985/63985	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d43417c-f9f1%22	https://cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/js/uikit-icons.min.js	D:/bot%20codes/https___rezx-web.glitch.me_/cdnjs.cloudflare.com/ajax/libs/uikit/3.1.7/js/uikit-icons.min.js	(from https://rezx-web.glitch.me/)
23:33:44	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%221574963566%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	D:/bot%20codes/https___rezx-web.glitch.me_/maxcdn.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://rezx-web.glitch.me/)
23:33:46	60010/60010	---M-Z	200	added ('OK')	text/javascript	etag:%221574963572%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	D:/bot%20codes/https___rezx-web.glitch.me_/maxcdn.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	(from https://rezx-web.glitch.me/)
23:33:47	21257/21257	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd44a9e-5309%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	D:/bot%20codes/https___rezx-web.glitch.me_/cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	(from https://rezx-web.glitch.me/)
23:33:47	88145/88145	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	D:/bot%20codes/https___rezx-web.glitch.me_/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://rezx-web.glitch.me/)
23:33:47	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4939-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/bot%20codes/https___rezx-web.glitch.me_/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://rezx-web.glitch.me/)
23:33:47	5028/5028	---M--	200	added ('OK')	text/css	etag:W/%2213a4-171c036b900%22	https://rezx-web.glitch.me/style.css	D:/bot%20codes/https___rezx-web.glitch.me_/rezx-web.glitch.me/style.css	(from https://rezx-web.glitch.me/)
23:33:49	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	D:/bot%20codes/https___rezx-web.glitch.me_/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://rezx-web.glitch.me/)
